Actions,WIID,Description,Type,Status,Date
,88208569,Calculate Client Security Hash,WI5,Open,2022-03-30
,88208609,Process Vendor Invoice,WI3,Open,2022-02-28
,88208580,Generate Yearly Report for Vendor,WI4,Open,2019-07-04
,88208615,Research Client Check Copy,WI2,Open,2018-12-01
,88208618,Research Client Check Copy,WI2,Open,2018-09-30
,88208582,Generate Yearly Report for Vendor,WI4,Open,2018-04-25
,88208659,Verify Account Position,WI1,Open,2022-11-01
,88208644,Verify Account Position,WI1,Open,2020-11-23
,88208648,Verify Account Position,WI1,Open,2019-02-13
,88208579,Generate Yearly Report for Vendor,WI4,Open,2020-09-26
,88208559,Calculate Client Security Hash,WI5,Open,2019-12-05
,88208630,Research Client Check Copy,WI2,Open,2022-03-05
,88208620,Research Client Check Copy,WI2,Open,2017-06-27
,88208587,Generate Yearly Report for Vendor,WI4,Open,2021-03-10
,88208617,Research Client Check Copy,WI2,Open,2020-07-16
,88208570,Calculate Client Security Hash,WI5,Open,2019-01-10
,88208626,Research Client Check Copy,WI2,Open,2022-10-15
,88208647,Verify Account Position,WI1,Open,2020-08-03
,88208668,Verify Account Position,WI1,Open,2020-06-09
,88208633,Research Client Check Copy,WI2,Open,2019-04-07
,88208643,Verify Account Position,WI1,Open,2021-09-02
,88208667,Verify Account Position,WI1,Open,2022-02-17
,88208588,Generate Yearly Report for Vendor,WI4,Open,2017-08-29
,88208610,Process Vendor Invoice,WI3,Open,2020-05-13
,88208563,Calculate Client Security Hash,WI5,Open,2017-11-13
,88208656,Verify Account Position,WI1,Open,2020-02-19
,88208651,Verify Account Position,WI1,Open,2018-07-09
,88208654,Verify Account Position,WI1,Open,2018-06-03
,88208561,Calculate Client Security Hash,WI5,Open,2017-10-22
,88208605,Process Vendor Invoice,WI3,Open,2019-09-14
,88208573,Generate Yearly Report for Vendor,WI4,Open,2018-06-19
,88208661,Verify Account Position,WI1,Open,2017-07-22
,88208599,Process Vendor Invoice,WI3,Open,2018-07-05
,88208597,Process Vendor Invoice,WI3,Open,2020-03-19
,88208616,Research Client Check Copy,WI2,Open,2020-01-09
,88208666,Verify Account Position,WI1,Open,2019-04-10
,88208652,Verify Account Position,WI1,Open,2018-03-16
,88208585,Generate Yearly Report for Vendor,WI4,Open,2022-09-05
,88208566,Calculate Client Security Hash,WI5,Open,2017-07-27
,88208629,Research Client Check Copy,WI2,Open,2021-01-30
,88208574,Generate Yearly Report for Vendor,WI4,Open,2020-11-21
,88208577,Generate Yearly Report for Vendor,WI4,Open,2017-12-20
,88208650,Verify Account Position,WI1,Open,2021-09-14
,88208607,Process Vendor Invoice,WI3,Open,2019-12-05
,88208611,Research Client Check Copy,WI2,Open,2017-02-13
,88208663,Verify Account Position,WI1,Open,2017-03-24
,88208622,Research Client Check Copy,WI2,Open,2021-09-23
,88208623,Research Client Check Copy,WI2,Open,2018-05-01
,88208619,Research Client Check Copy,WI2,Open,2018-05-01
,88208586,Generate Yearly Report for Vendor,WI4,Open,2018-11-23
,88208564,Calculate Client Security Hash,WI5,Open,2018-07-29
,88208576,Generate Yearly Report for Vendor,WI4,Open,2017-04-04
,88208655,Verify Account Position,WI1,Open,2018-07-13
,88208613,Research Client Check Copy,WI2,Open,2022-01-30
,88208632,Research Client Check Copy,WI2,Open,2017-12-15
,88208603,Process Vendor Invoice,WI3,Open,2022-07-14
